Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Miner's Line,false,www,2019-04-22 00:13:35
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Rappel,false,www,2019-04-22 00:10:51
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Worms,false,www,2019-04-22 00:07:54
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Climb Chain,false,www,2019-04-22 00:04:11
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Make Fire,false,www,2019-04-22 00:00:37
Alex,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Back Flip,false,www,2019-04-21 23:58:46
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Flight,false,www,2019-04-21 23:55:12
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Jump,false,www,2019-04-21 23:53:49
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Leave Cave,false,www,2019-04-21 23:50:14
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Follow Tracks,false,www,2019-04-21 23:48:04
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Cave,false,www,2019-04-21 23:46:07
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Float,false,www,2019-04-21 23:43:05
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Gutweed,false,www,2019-04-21 23:39:57
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Limpets,false,www,2019-04-21 23:36:19
Alex,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Coasteer,false,www,2019-04-21 23:34:06
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Head,false,www,2019-04-21 19:04:40
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Lure,false,www,2019-04-21 19:00:48
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Water Flush,false,www,2019-04-21 18:57:27
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Water Tunnel,false,www,2019-04-21 18:54:20
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Mine,false,www,2019-04-21 18:51:02
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Follow Tracks,false,www,2019-04-21 06:57:38
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Slot Canyon,false,www,2019-04-21 06:55:23
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Rappel,false,www,2019-04-21 06:49:44
Alex,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_interrupted,Chopper,false,www,2019-04-21 06:46:10
Alex,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Fern Fire,false,www,2019-04-21 06:41:14
Alex,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Trap,false,www,2019-04-21 06:37:25
Alex,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Igloo,false,www,2019-04-21 06:32:21
Alex,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_interrupted,Static,false,www,2019-04-21 06:30:22
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Rappel,false,www,2019-04-21 06:24:07
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Glissade,false,www,2019-04-21 06:22:05
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Snow Cave,false,www,2019-04-21 06:18:00
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Search For Food,false,www,2019-04-21 06:14:28
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Systematic,false,www,2019-04-21 06:10:35
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Crawl,false,www,2019-04-21 05:42:02
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Walk,false,www,2019-04-21 05:39:11
Alex,"You vs. Wild: Season 1: ""Searching for a Saint Bernard""",countdown_interrupted,Paraglide,false,www,2019-04-21 05:34:42
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_complete,Rope,false,www,2019-04-21 05:29:29
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Cave,false,www,2019-04-21 05:27:01
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Spearfish,false,www,2019-04-21 05:21:56
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Rappel,false,www,2019-04-21 05:19:08
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Vine Swing,false,www,2019-04-21 05:13:36
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grub,false,www,2019-04-21 05:11:15
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Follow River,false,www,2019-04-21 05:07:27
Alex,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Slingshot,false,www,2019-04-21 05:05:28
